№	Наименование ККН	ОКПД2	Детализация	Единица измерения ККН	Показатель (характеристика) товара	Требования к значениям показателей				Единица измерения характеристики	Категория	Код КТРУ	Код ККН	Товарная часть	Дата актуализации	Российский товар
943	Фольга цветная для творчества тип 1	17.23.13.199	036	НАБОР	Тип			"Однотонная; Фактурная"		-	Фольга цветная для творчества в наборах		17.23.13.199-036	02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Самоклеящаяся				Нет	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Количество листов в наборе	7	10			ШТ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Количество цветов	7	10			ШТ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Бумажная основа				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Формат				A4	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Рисунок				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Эффекты			"Отсутствие; Перламутровые; Голографические; Металлик"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
944	Фольга цветная для творчества тип 2	17.23.13.199	037	НАБОР	Тип				Однотонная	-	Фольга цветная для творчества в наборах		17.23.13.199-037	02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Самоклеящаяся				Да	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Количество листов в наборе				5	ШТ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Количество цветов				5	ШТ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Бумажная основа				Наличие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Формат				A4	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Рисунок				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Эффекты			"Отсутствие; Перламутровые; Голографические; Металлик; Блестки"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
945	Бумага миллиметровая тип 1	17.23.14.110	010	УПАК	Форма выпуска				Лист	-	Бумага миллиметровая в листах		17.23.14.110-010	02. Канцелярские товары и офисные принадлежности	31.12.2019	Да
					Формат				А3	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Масса бумаги площадью 1м2, г	75	80			-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Количество листов в упаковке				20	ШТ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Цвет графления			"Желто-оранжевый; Светло-зеленый; Розовый; Светло-голубой"		-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Соответствие нормативно-технической документации			"ГОСТ 334-73; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
946	Бумага миллиметровая тип 2	17.23.14.110	011	РУЛ	Форма выпуска				Рулон	-	Бумага миллиметровая в рулонах		17.23.14.110-011	02. Канцелярские товары и офисные принадлежности	31.10.2021	Да
					Ширина				878	ММ				02. Канцелярские товары и офисные принадлежности	31.10.2021	
					Длина				10	М				02. Канцелярские товары и офисные принадлежности	31.10.2021	
					Масса бумаги площадью 1м2, г	65	80			-				02. Канцелярские товары и офисные принадлежности	31.10.2021	
					Цвет графления			"Желто-оранжевый; Светло-зеленый; Розовый; Светло-голубой"		-				02. Канцелярские товары и офисные принадлежности	31.10.2021	
					Соответствие нормативно-технической документации			"ГОСТ 334-73; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.10.2021	
947	Картон канцелярский тип 1	17.23.14.120	001	УПАК	Количество листов в упаковке				?20	ШТ	Картон белый	17.23.14.120-00000003	17.23.14.120-001	02. Канцелярские товары и офисные принадлежности	29.07.2022	Да
					Тип				Немелованный	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Формат				A4	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Цветность				Белый	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Количество листов в упаковке, min				200	ШТ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Масса бумаги площадью 1м2, г	260	280			-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Соответствие нормативно-технической документации			"ГОСТ 7950-77; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
948	Картон канцелярский тип 2	17.23.14.120	003	УПАК	Количество листов в упаковке			"?5; ?10"		ШТ	Картон белый	17.23.14.120-00000003	17.23.14.120-003	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Тип			"Немелованный; Мелованный"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Формат				A4	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Цветность				Белый	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Масса бумаги площадью 1м2, г	180	220			-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ 7950-77; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
949	Картон канцелярский тип 3	17.23.14.120	006	УПАК	Количество листов в упаковке				?20	ШТ	Картон белый	17.23.14.120-00000003	17.23.14.120-006	02. Канцелярские товары и офисные принадлежности	29.07.2022	Да
					Тип				Немелованный	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Формат				А3	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Цветность				Белый	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Количество листов в упаковке, min				100	ШТ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Масса бумаги площадью 1м2, г	260	290			-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Соответствие нормативно-технической документации			"ГОСТ 7950-77; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
950	Картон канцелярский тип 4	17.23.14.120	002	УПАК	Количество листов в упаковке				?10	ШТ	Картон цветной	17.23.14.120-00000002	17.23.14.120-002	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Количество цветов				?5	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип			"Немелованный; Мелованный"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Формат				A4	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Цветность				Цветной	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ 7950-77; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
951	Картон канцелярский тип 5	17.23.14.120	004	УПАК	Количество листов в упаковке				?20	ШТ	Картон цветной	17.23.14.120-00000002	17.23.14.120-004	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Количество цветов			"?10; ?20"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип			"Немелованный; Мелованный"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Формат				A4	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Цветность				Цветной	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ 7950-77; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
952	Картон канцелярский тип 6	17.23.14.120	005	УПАК	Количество листов в упаковке				?10	ШТ	Картон цветной	17.23.14.120-00000002	17.23.14.120-005	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Количество цветов				?10	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип			"Немелованный; Мелованный"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Формат				A4	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Цветность				Цветной	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ 7950-77; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
953	Картон канцелярский тип 7	17.23.14.120	007	УПАК	Количество листов в упаковке				?5	ШТ	Картон цветной	17.23.14.120-00000002	17.23.14.120-007	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Количество цветов				?5	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип			"Немелованный; Мелованный"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Формат				А3	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Цветность				Цветной	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ 7950-77; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
954	Этикетки термотрансферные тип 1	17.29.11.110	001	РУЛ	Совместимость			"Zebra; Z-Select; Z-Ultimate; Z-Perform; Z-Supreme; Z-Xtreme; PolyPro; PolyO и PolyE; Годекс; Citizen; Datamax"		-	Этикетки термотрансферные		17.29.11.110-001	02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Тип				Оригинальные	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Артикул			"3007200-T; 3007201-T; 800271-105; 3007204-T; 800272-075; 3006318; 800273-205"		-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Технология печати				Термотрансферная	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Материал				Бумага	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Покрытие				Полуглянцевое	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Ширина			"31; 32; 51; 57; 76"		ММ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Высота			"19; 22; 25; 32; 51; 102"		ММ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Количество этикеток			"700; 1370; 2100; 2580; 2890; 3315"		ШТ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Диаметр под втулку				25	ММ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
955	Этикетки термотрансферные тип 2	17.29.11.110	002	РУЛ	Совместимость			"Zebra; Z-Select; Z-Ultimate; Z-Perform; Z-Supreme; Z-Xtreme; PolyPro; PolyO и PolyE; Годекс; Citizen; Datamax"		-	Этикетки термотрансферные		17.29.11.110-002	02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Тип				Совместимые	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Технология печати				Термотрансферная	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Материал				Бумага	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Покрытие				Полуглянцевое	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Ширина				58	ММ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Высота				30	ММ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Количество этикеток	900				ШТ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Диаметр под втулку				40	ММ				02. Канцелярские товары и офисные принадлежности	31.12.2019	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	31.12.2019	
956	Этикетки термотрансферные тип 3	17.29.11.110	003	РУЛ	Совместимость			"Zebra; Citizen; Argox; Datamax; Toshiba TEC; Godex; TSC; Bizerba; CAS; Mettler; Digi; Штрих-М; Масса К; Proton; SATO"		-	Этикетки термотрансферные		17.29.11.110-003	02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Тип				Совместимые	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Технология печати				Термотрансферная	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Материал				Бумага	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Покрытие				Полуглянцевое	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Ширина			"30; 43"		ММ				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Высота			"20; 25"		ММ				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Количество этикеток			"1000; 2000; 3000"		ШТ				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Диаметр под втулку			"40; 76"		ММ				02. Канцелярские товары и офисные принадлежности	28.02.2025	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	28.02.2025	
957	Этикетки термотрансферные тип 4	17.29.11.110	004	РУЛ	Совместимость			"Zebra; Citizen; Argox; Datamax; Toshiba TEC; Godex; TSC; Bizerba; CAS; Mettler; Digi; Штрих-М; Масса К; Proton; SATO"		-	Этикетки термотрансферные		17.29.11.110-004	02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Тип				Совместимые	-				02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Технология печати				Термотрансферная	-				02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Материал				Полипропилен	-				02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Покрытие				Полуглянцевое	-				02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Ширина			"30; 43"		ММ				02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Высота			"20; 25"		ММ				02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Количество этикеток			"1000; 2000"		ШТ				02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Диаметр под втулку				40	ММ				02. Канцелярские товары и офисные принадлежности	29.12.2018	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	29.12.2018	
958	Этикетки термотрансферные тип 5	17.29.11.110	005	РУЛ	Совместимость			"Zebra; Datamax; Citizen; Godex; Proton; SATO; Toshiba TEC; TSC"		-	Этикетки термотрансферные		17.29.11.110-005	02. Канцелярские товары и офисные принадлежности	29.07.2022	Да
					Тип				Совместимые	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Технология печати				Термотрансферная	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Материал				Бумага	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Покрытие				Полуглянцевое	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Ширина	47	50			ММ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Высота	25	26			ММ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Количество этикеток			"1000; 2000"		ШТ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Диаметр под втулку				40	ММ				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
959	Этикет-лента тип 1	17.29.11.110	006	РУЛ	Тип				Прямоугольная	-	Этикет-ленты		17.29.11.110-006	02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Ширина			"21; 26"		ММ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Высота			"12; 16"		ММ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Количество этикеток в рулоне	800	1100			ШТ				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Цвет			"Белый; Оранжевый; Зеленый; Желтый; Красный, белый; Красный"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
960	Бумага папиросная тип 1	17.29.19.110	001	РУЛ	Форма выпуска				Рулон	-	Бумага папиросная	17.29.19.110-00000001	17.29.19.110-001	02. Канцелярские товары и офисные принадлежности	30.06.2023	
					Масса бумаги площадью 1м2, г	18	30			-				02. Канцелярские товары и офисные принадлежности	30.06.2023	
					Ширина рулона				840	ММ				02. Канцелярские товары и офисные принадлежности	30.06.2023	
					Длина рулона				10	М				02. Канцелярские товары и офисные принадлежности	30.06.2023	
					Толщина, мкм	20	24			-				02. Канцелярские товары и офисные принадлежности	30.06.2023	
					Цвет				Белый	-				02. Канцелярские товары и офисные принадлежности	30.06.2023	
					Соответствие нормативно-технической документации			"ГОСТ 17586-80; ГОСТ 3479-85; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	30.06.2023	
961	Лак акриловый? тип 1	20.30.11.110	001	ШТ	Вид				Художественный	-	Лаки акриловые художественные		20.30.11.110-001	02. Канцелярские товары и офисные принадлежности	31.03.2022	Да
					Тип			"Глянцевый; Матовый; Полуматовый"		-				02. Канцелярские товары и офисные принадлежности	31.03.2022	
					Объем банки	100	110			"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	31.03.2022	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	31.03.2022	
962	Грунт акриловый? тип 1	20.30.11.130	008	ШТ	Вид				Художественный	-	Грунты акриловые художественные		20.30.11.130-008	02. Канцелярские товары и офисные принадлежности	31.03.2022	Да
					Объем банки				1	"Л; ДМ3"				02. Канцелярские товары и офисные принадлежности	31.03.2022	
					Цвет				Белый	-				02. Канцелярские товары и офисные принадлежности	31.03.2022	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	31.03.2022	
963	Набор для декупажа? тип 1	20.30.22.110	007	НАБОР	Объем банки	20	50			"СМ3; МЛ"	Наборы для декупажа		20.30.22.110-007	02. Канцелярские товары и офисные принадлежности	31.03.2022	Да
					Количество предметов	4	6			ШТ				02. Канцелярские товары и офисные принадлежности	31.03.2022	
					Состав			"Лак акриловый - 2 шт., клей для декупажа, грунт для декупажа; Лак акриловый, клей для декупажа, грунт для декупажа, лак кракелюрный; Лак акриловый, клей для декупажа, грунт для декупажа, паста рельефная; Краски акриловые - 4 шт., клей для декупажа, лак кракелюрный"		-				02. Канцелярские товары и офисные принадлежности	31.03.2022	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	31.03.2022	
964	Краска для рисования? тип 1	20.30.23.110	001	ШТ	Вид краски				Гуашь	-	Краски художественные гуашевые	20.30.23.110-00000001	20.30.23.110-001	02. Канцелярские товары и офисные принадлежности	29.04.2022	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Количество цветов в наборе				?6	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Объем банки	15	20			"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Соответствие нормативно-технической документации			"Технический регламент Таможенного союза ?О безопасности игрушек? от 23.09.2011 ТР ТС № 008/2011; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
965	Краска для рисования? тип 2	20.30.23.110	002	ШТ	Вид краски				Гуашь	-	Краски художественные гуашевые	20.30.23.110-00000001	20.30.23.110-002	02. Канцелярские товары и офисные принадлежности	29.04.2022	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Количество цветов в наборе				?12	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Объем банки	20	25			"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Соответствие нормативно-технической документации			"Технический регламент Таможенного союза ?О безопасности игрушек? от 23.09.2011 ТР ТС № 008/2011; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
966	Краска для рисования? тип 3	20.30.23.110	003	ШТ	Вид краски				Акварельная	-	Краски художественные акварельные	20.30.23.110-00000004	20.30.23.110-003	02. Канцелярские товары и офисные принадлежности	28.02.2023	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Количество цветов в наборе				?12	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Тип				Школьная	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Эффекты				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Комплектация кистью				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Соответствие нормативно-технической документации			"ГОСТ 11481-75; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
967	Краска для рисования? тип 4	20.30.23.110	004	ШТ	Вид краски				Витражная	-	Краски художественные витражные	20.30.23.110-00000008	20.30.23.110-004	02. Канцелярские товары и офисные принадлежности	28.02.2023	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Количество цветов в наборе				?10	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Объем банки	20	27			"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Эффекты			"Отсутствие; Перламутровые; Неоновые; Флуоресцентные"		-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
968	Краска для рисования? тип 5	20.30.23.110	005	ШТ	Вид краски				Витражная	-	Краски художественные витражные	20.30.23.110-00000008	20.30.23.110-005	02. Канцелярские товары и офисные принадлежности	29.03.2024	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	29.03.2024	
					Количество цветов в наборе				?6	-				02. Канцелярские товары и офисные принадлежности	29.03.2024	
					Объем банки				20	"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	29.03.2024	
					Эффекты			"Отсутствие; Перламутровые; Неоновые; Флуоресцентные; Блестки"		-				02. Канцелярские товары и офисные принадлежности	29.03.2024	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	29.03.2024	
969	Краска для рисования? тип 6	20.30.23.110	006	ШТ	Вид краски				Гуашь	-	Краски художественные гуашевые	20.30.23.110-00000001	20.30.23.110-006	02. Канцелярские товары и офисные принадлежности	30.09.2024	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	30.09.2024	
					Количество цветов в наборе				?6	-				02. Канцелярские товары и офисные принадлежности	30.09.2024	
					Объем банки	35	40			"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	30.09.2024	
					Соответствие нормативно-технической документации			"Технический регламент Таможенного союза ?О безопасности игрушек? от 23.09.2011 ТР ТС № 008/2011; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	30.09.2024	
970	Краска для рисования? тип 7	20.30.23.110	007	ШТ	Вид краски				Гуашь	-	Краски художественные гуашевые	20.30.23.110-00000001	20.30.23.110-007	02. Канцелярские товары и офисные принадлежности	29.04.2022	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Количество цветов в наборе				?12	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Объем банки				40	"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Соответствие нормативно-технической документации			"Технический регламент Таможенного союза ?О безопасности игрушек? от 23.09.2011 ТР ТС № 008/2011; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
971	Краска для рисования? тип 8	20.30.23.110	008	ШТ	Вид краски				Акварельная	-	Краски художественные акварельные	20.30.23.110-00000004	20.30.23.110-008	02. Канцелярские товары и офисные принадлежности	31.07.2024	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Количество цветов в наборе				?20	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Тип				Школьная	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Комплектация кистью			"Наличие; Отсутствие"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Эффекты				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
					Соответствие нормативно-технической документации			"ГОСТ 11481-75; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	31.07.2024	
972	Краска для рисования? тип 9	20.30.23.110	009	ШТ	Вид краски				Акварельная	-	Краски художественные акварельные	20.30.23.110-00000004	20.30.23.110-009	02. Канцелярские товары и офисные принадлежности	28.02.2023	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Количество цветов в наборе				?8	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Тип				Школьная	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Комплектация кистью				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Эффекты				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
					Соответствие нормативно-технической документации			"ГОСТ 11481-75; ТУ производителя"		-				02. Канцелярские товары и офисные принадлежности	28.02.2023	
973	Краска для рисования? тип 10	20.30.23.110	010	ШТ	Вид краски				Акриловая	-	Краски художественные акриловые	20.30.23.110-00000005	20.30.23.110-010	02. Канцелярские товары и офисные принадлежности	29.04.2022	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Количество цветов в наборе				?12	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Объем банки	12	20			"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Комплектация кистью				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Эффекты				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
974	Краска для рисования? тип 11	20.30.23.110	011	ШТ	Вид краски				Акриловая	-	Краски художественные акриловые	20.30.23.110-00000005	20.30.23.110-011	02. Канцелярские товары и офисные принадлежности	29.07.2022	Да
					Вид товара				Набор красок для рисования	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Количество цветов в наборе				?6	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Объем банки	15	22			"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Комплектация кистью				Отсутствие	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Эффекты			"Перламутровые; Флуоресцентные; Металлик; Глянцевые; Матовые"		-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
					Соответствие нормативно-технической документации				ТУ производителя	-				02. Канцелярские товары и офисные принадлежности	29.07.2022	
975	Краска для рисования? тип 12	20.30.23.110	012	ШТ	Вид краски				Гуашь	-	Краски художественные гуашевые в бутылках и банках	20.30.23.110-00000009	20.30.23.110-012	02. Канцелярские товары и офисные принадлежности	29.04.2022	Да
					Вид товара				Краска для рисования	-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Объем банки				500	"СМ3; МЛ"				02. Канцелярские товары и офисные принадлежности	29.04.2022	
					Цвет			"Синий; Красный; Зеленый; Желтый; Черный; Белый; Оранжевый; Фиолетовый; Голубой; Коричневый"		-				02. Канцелярские товары и офисные принадлежности	29.04.2022	
